#名前,レア度,スロットサイズ,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
抑反珠【１】,5,1,,反動軽減,1,,,,,,,,,,,
早填珠【１】,5,1,,装填速度,1,,,,,,,,,,,
耐絶珠【１】,5,1,,気絶耐性,1,,,,,,,,,,,
点射珠【１】,5,1,,ブレ抑制,1,,,,,,,,,,,
耐衝珠【１】,5,1,,ひるみ軽減,1,,,,,,,,,,,
防風珠【１】,5,1,,風圧耐性,1,,,,,,,,,,,
研磨珠【１】,5,1,,砥石使用高速化,1,,,,,,,,,,,
早復珠【１】,4,1,,回復速度,1,,,,,,,,,,,
鼓笛珠【１】,4,1,,笛吹き名人,1,,,,,,,,,,,
奪気珠【１】,4,1,,スタミナ奪取,1,,,,,,,,,,,
毒珠【１】,5,1,,毒属性強化,1,,,,,,,,,,,
滑走珠【１】,4,1,,滑走強化,1,,,,,,,,,,,
爆師珠【１】,4,1,,ボマー,1,,,,,,,,,,,
火炎珠【１】,5,1,,火属性攻撃強化,1,,,,,,,,,,,
流水珠【１】,5,1,,水属性攻撃強化,1,,,,,,,,,,,
雷光珠【１】,5,1,,雷属性攻撃強化,1,,,,,,,,,,,
氷結珠【１】,5,1,,氷属性攻撃強化,1,,,,,,,,,,,
破龍珠【１】,5,1,,龍属性攻撃強化,1,,,,,,,,,,,
防御珠【１】,5,1,,防御,1,,,,,,,,,,,
皮剥珠【１】,4,1,,剥ぎ取り鉄人,1,,,,,,,,,,,
無食珠【１】,4,1,,腹減り耐性,1,,,,,,,,,,,
節食珠【１】,4,1,,満足感,1,,,,,,,,,,,
泥雪珠【１】,4,1,,泥雪耐性,1,,,,,,,,,,,
陽動珠【１】,4,1,,陽動,1,,,,,,,,,,,
飛込珠【１】,4,1,,飛び込み,1,,,,,,,,,,,
地学珠【１】,4,1,,地質学,1,,,,,,,,,,,
植学珠【１】,4,1,,植生学,1,,,,,,,,,,,
耐爆珠【１】,4,1,,爆破やられ耐性,1,,,,,,,,,,,
耐眠珠【１】,4,1,,睡眠耐性,1,,,,,,,,,,,
耐麻珠【１】,4,1,,麻痺耐性,1,,,,,,,,,,,
耐毒珠【１】,4,1,,毒耐性,1,,,,,,,,,,,
耐火珠【１】,4,1,,火耐性,1,,,,,,,,,,,
耐水珠【１】,4,1,,水耐性,1,,,,,,,,,,,
耐雷珠【１】,4,1,,雷耐性,1,,,,,,,,,,,
耐氷珠【１】,4,1,,氷耐性,1,,,,,,,,,,,
耐龍珠【１】,4,1,,龍耐性,1,,,,,,,,,,,
射法珠【２】,6,2,,弾導強化,1,,,,,,,,,,,
属会珠【２】,6,2,,会心撃【属性】,1,,,,,,,,,,,
砲術珠【２】,7,2,,砲術,1,,,,,,,,,,,
強走珠【２】,7,2,,ランナー,1,,,,,,,,,,,
短縮珠【２】,7,2,,集中,1,,,,,,,,,,,
心眼珠【２】,7,2,,心眼,1,,,,,,,,,,,
底力珠【２】,6,2,,火事場力,1,,,,,,,,,,,
特射珠【２】,6,2,,特殊射撃強化,1,,,,,,,,,,,
増弾珠【２】,6,2,,砲弾装填,1,,,,,,,,,,,
強壁珠【２】,6,2,,ガード強化,1,,,,,,,,,,,
鉄壁珠【２】,6,2,,ガード性能,1,,,,,,,,,,,
早気珠【２】,6,2,,スタミナ急速回復,1,,,,,,,,,,,
昂揚珠【２】,6,2,,強化持続,1,,,,,,,,,,,
渾身珠【２】,6,2,,渾身,1,,,,,,,,,,,
攻撃珠【２】,6,2,,攻撃,1,,,,,,,,,,,
達人珠【２】,6,2,,見切り,1,,,,,,,,,,,
速変珠【２】,5,2,,高速変形,1,,,,,,,,,,,
鈍器珠【２】,5,2,,鈍器使い,1,,,,,,,,,,,
耐震珠【２】,5,2,,耐震,1,,,,,,,,,,,
逆襲珠【２】,5,2,,逆襲,1,,,,,,,,,,,
泡沫珠【２】,5,2,,泡沫の舞,1,,,,,,,,,,,
抜打珠【２】,5,2,,抜刀術【力】,1,,,,,,,,,,,
跳躍珠【２】,5,2,,回避距離ＵＰ,1,,,,,,,,,,,
回避珠【２】,5,2,,回避性能,1,,,,,,,,,,,
速納珠【２】,5,2,,納刀術,1,,,,,,,,,,,
ＫＯ珠【２】,5,2,,ＫＯ術,1,,,,,,,,,,,
友愛珠【２】,2,2,,広域化,1,,,,,,,,,,,
重撃珠【２】,5,2,,破壊王,1,,,,,,,,,,,
耐属珠【２】,5,2,,属性やられ耐性,1,,,,,,,,,,,
早食珠【２】,5,2,,早食い,1,,,,,,,,,,,
加護珠【２】,5,2,,精霊の加護,1,,,,,,,,,,,
壁走珠【２】,4,2,,壁面移動,1,,,,,,,,,,,
翔蟲珠【２】,4,2,,翔蟲使い,1,,,,,,,,,,,
持続珠【２】,4,2,,アイテム使用強化,1,,,,,,,,,,,
治癒珠【２】,4,2,,体力回復量ＵＰ,1,,,,,,,,,,,
体術珠【２】,4,2,,体術,1,,,,,,,,,,,
乗慣珠【２】,4,2,,乗り名人,1,,,,,,,,,,,
逆境珠【２】,4,2,,不屈,1,,,,,,,,,,,
装填珠【３】,7,3,,装填拡張,1,,,,,,,,,,,
守勢珠【３】,7,3,,攻めの守勢,1,,,,,,,,,,,
茸好珠【３】,7,3,,キノコ大好き,1,,,,,,,,,,,
抜刀珠【３】,7,3,,抜刀術【技】,1,,,,,,,,,,,
防音珠【３】,5,3,,耳栓,1,,,,,,,,,,,